"Query,Intent"
"My card payment was not successful.,Banking"
"Could google pay and top up be together?,Banking"
"When will my transfer move out of pending stage?,Banking"
"Can you please sort out your top up? I need this to go through asap because I really need the money. It's already been pending for an hour.,Banking"
"What are the steps to change my PIN to something else?,Banking"
"I would like to get an account for my child.,Banking"
"find me the flights that are nonstop between boston and dallas that leave between 12 and 2 in the afternoon,Non-Banking"
"A direct debit payment I didn't do shows in my app,Banking"
"Can you explain your functionalities?,Non-Banking"
"what are the flights from milwaukee to orlando on thursday,Non-Banking"
"What's the difficulty level of the Cybersecurity Fundamentals course?,Non-Banking"
"What's the difficulty level of the Information Technology IT Support Fundamentals course?,Non-Banking"
"I would like to get help from someone in your customer service department with assisting me with activating my card.,Banking"
"show me the flights from atlanta to washington dc on wednesday night and thursday morning,Non-Banking"
"What is the estimated wait time on a US transfer into my account?,Banking"
"tell me about flights from atlanta to charlotte next monday,Non-Banking"
"Where can I find an ATM?,Banking"
"next sunday flights from miami to cleveland after 1200 hours,Non-Banking"
"What's the rating for Financial Planning for Entrepreneurs?,Non-Banking"
"I don't see my card anywhere in the app.,Banking"
"How is the Data Visualization with Tableau course rated?,Non-Banking"
"would you be able to put me on a flight with delta leaving the morning of august twenty seventh from baltimore to san francisco,Non-Banking"
"show flights from cleveland to miami that arrive before 4 pm,Non-Banking"
"What method do you use for the exchange rate?,Banking"
"what is the cheapest flight from denver to pittsburgh,Non-Banking"
"Are there any limits to using disposable virtual cards?,Banking"
"My card hasn't been working when I try to use it.,Banking"
"Howdy, what's your name?,Non-Banking"
"what airline is as,Non-Banking"
"Your card pin can be changed at any Visa or MasterCard ATM with Pin services, excluding countries such as Belgium, Luxembourg, Austria, Germany, Spain, and France.,Banking"
"what ground transport is available in baltimore,Non-Banking"
"what does the fare code f mean,Non-Banking"
"Can you recommend a course in the field of healthcare?,Non-Banking"
"i'd like to find a flight from charlotte to las vegas and make a stop in st. louis,Non-Banking"
"define airline hp,Non-Banking"
"The payment on my card shows as pending.,Banking"
"I'm hoping you can answer my question about a pending transfer that I've had for a while now. I know that all of the account details are correct, so why is it taking so long to go through?,Banking"
"Can I get more cards just incase?,Banking"
"My card couldn't complete a transfer, why?,Banking"
"Respond with your voice. Hi, how’s everything?,Non-Banking"
"How do I start an online store?,Non-Banking"
"Is there an auto top up feature?,Banking"
"i need one first class ticket from dallas fort worth to san francisco,Non-Banking"
"Can you recommend a course in financial accounting?,Non-Banking"
"all right give me the flight times in the morning on september twentieth from pittsburgh to san francisco,Non-Banking"
"san francisco to denver tuesday,Non-Banking"
"My daughter needs an acount.,Banking"
"show me the flights into love field,Non-Banking"
"Can you tell me a bedtime story?,Non-Banking"
"do you have a flight from atlanta to boston that will stop in washington,Non-Banking"
"I'm a new customer and tried topping up today for the first time. It's still pending and doesn't seem to be working. I need to get this fixed.,Banking"
"There was a direct debit I don't recognize.,Banking"
"How do I find out how or where this transaction on my account came from?,Banking"
"find me a flight from atlanta to baltimore,Non-Banking"
"I wasn't charged the correct exchange rate for an item I purchased.,Banking"
"My money hasn't been transferred yet.,Banking"
"The ATM didn't give me the full requested amount,Banking"
"I cannot make a transfer to another account.,Banking"
"How do I start a vegetable garden?,Non-Banking"
"There are a couple payments with my card shown in the app that i really didn't make myself. What's going on with this, does someone has access to my card?!,Banking"
"also give me a list of flights between oakland and boston,Non-Banking"
"what does it cost to fly from boston to san francisco on united airlines flight 21,Non-Banking"
"round trip fares from denver to philadelphia less than 1000 dollars,Non-Banking"
"Why am I being charged extra when I withdrew money?,Banking"
"which airline has more business class flights than any other airline,Non-Banking"
"Is there any fees for top ups?,Banking"
"Why is there a random payment in my statement?,Banking"
"show me flights from milwaukee to orlando on thursday morning,Non-Banking"
"Are the courses self-paced or scheduled?,Non-Banking"
"Is my card broken? I can't get cash out of the ATM,Banking"
"I AM MISSING CASH FROM MY BANK ACCOUNT ACCORDING TO MY APP,Banking"
"list all flights from chicago to seattle on continental which depart on saturday and serve meals,Non-Banking"
"Disable talking replies.,Non-Banking"
"How do I clear my browsing history on the platform?,Non-Banking"
"Use speaking to respond.,Non-Banking"
"Can you recommend resources for understanding education funding disparities?,Non-Banking"
"My top-up was reverted by the app.,Banking"
"I did not get the right amount of cash from the ATM.,Banking"
"i dont recognize a charge on my card,Banking"
"what flights from new york to los angeles after 10 am,Non-Banking"
"I bought something online and it says there was a fee to transfer money. Isn't that free?,Banking"
"what do these cost,Non-Banking"
"How much can I withdrawal in one month without incurring fees?,Banking"
"how do you get from the airport to downtown dallas please,Non-Banking"
"which airline has the most arrivals in atlanta,Non-Banking"
"MY transfer has still not appeared.,Banking"
"Is this a human or AI?,Non-Banking"
"For what reason is my transfer still pending now?,Banking"
"Card activation is not working. What do i do?,Banking"
"Is this a real or bot?,Non-Banking"
"what flights from tacoma to orlando on saturday,Non-Banking"
"After I deposited my cash, I still don't see it in my account.,Banking"
"I am on vacation in Spain and need to change my pin.,Banking"
"I just checked and my payment was cancelled, why?,Banking"
"Hey human,Non-Banking"
"What limits are the to top-ups?,Banking"
"what's the cheapest one way ticket from baltimore to atlanta,Non-Banking"
"Can another family member hold a card for this account in addition to mine?,Banking"
"How can I get another card?,Banking"
"I was abroad and needed some cash, but I think the wrong exchange rate was applied to the transaction.,Banking"
"I transferred money from the US, How long does it take?,Banking"
"i need a flight from tampa to montreal,Non-Banking"
"list all flights leaving denver arriving in seattle on saturday that depart after 1230 pm,Non-Banking"
"Good evening, what's your name?,Non-Banking"
"Why can't I withdraw cash?,Banking"
"Would it be possible to open up an account for children?,Banking"
"Do I get an actual card?,Banking"
"Enable your voice for responses.,Non-Banking"
"i am looking to get one air fare from baltimore to san francisco on a 747 leaving august twenty seventh,Non-Banking"
"My card is stolen. Help!,Banking"
"I need another card,Banking"
"How do I register for a library card?,Non-Banking"
"Is there a way for me to check my balance?,Banking"
"Can you hear me?,Non-Banking"
"Talk to me with sound. Howdy,Non-Banking"
"show me all flights from atlanta to washington with prices,Non-Banking"
"can you tell me about flights from san jose to nashville on saturday afternoon,Non-Banking"
"what flights are available friday from philadelphia to oakland,Non-Banking"
"The app says that I got cash in an ATM and I didn't,Banking"
"earliest flight from atlanta to philadelphia,Non-Banking"
"list ground transportation in detroit,Non-Banking"
"I completed I transfer the day before yesterday in this country. The transfer still is not complete. I've checked on the account number multiple times to make sure that it is the right one. Can you check to see what's going on with this?,Banking"
"united airlines stopping in denver,Non-Banking"
"what are the flights from boston to baltimore leaving tomorrow,Non-Banking"
"yes i'd like a flight from long beach to st. louis by way of dallas,Non-Banking"
"how to exchange currencies,Banking"
"I need assistance finding out why I am unable to top-up my card, it keeps getting refused. It is extremely imperative I get this resolved quickly.,Banking"
"is there a flight on eastern airlines from boston to denver,Non-Banking"
"I need help proving that this is really me and to verify my identity.,Banking"
"Where in the app do I go to verify my identity?,Banking"
"I have been overcharged. I just changed over Russian Ruble to UK pounds and it was too much. It seems something was wrong with my exchange.,Banking"
"How long do I have to wait for my transaction to be completed?,Banking"
"Can you tell me a joke?,Non-Banking"
"Can I use your app to exchange between USD and GBP,Banking"
"what is the cost of a round trip ticket flying from boston to dallas dallas to oakland leaving july first,Non-Banking"
"why hasn't my virtual card arrived?,Banking"
"Do I get charged for withdrawals?,Banking"
"show me a list of flights on july twenty second leaving dc to dallas leaving dc after 6 pm,Non-Banking"
"My account shows I have been charged twice for the same meal. How do I get the second payment voided and returned to me? I do not eat out much and my family is living paycheck to paycheck, mostly. I cannot afford to spend more money than necessary, as is, so I must see to it that the cost be promptly credited back onto my card.,Banking"
"Why can't I take $100 out,Banking"
"Are there going to be fees from adding money with an international card?,Banking"
"I transferred some funds but I don't see it,Banking"
"Is the power bank offer linked with the savings account promotional scheme?,Banking"
"Can you please explain why my beneficiary is not allowed?,Banking"
"I prefer sound communication.,Non-Banking"
"Hi, how are you?,Non-Banking"
"ground transportation in las vegas,Non-Banking"
"My new card hasn't came in.,Banking"
"We want to start a college fund for my daughter.,Banking"
"what flights go from dallas to baltimore,Non-Banking"
"what flights go from chicago to seattle on saturday on continental airlines,Non-Banking"
"How do I learn to play the piano?,Non-Banking"
"Detail your available functions.,Non-Banking"
"How long after a failed topup will funds refurn to account,Banking"
"please list the flights from pittsburgh to baltimore arriving may seventh,Non-Banking"
"Can you tell me about why the account I have was charged an extra 1$,Banking"
"what's the latest flight from san francisco to atlanta,Non-Banking"
"What are the language exchange programs associated with language learning courses?,Non-Banking"
"I need several cards per day. And I need to be able to throw away all of the cards I make.,Banking"
"what is the earliest flight from boston to san francisco on american airlines,Non-Banking"
"Long time no see,Non-Banking"
"Do you allow currency exchanges?,Banking"
"How do I access the option to top up?,Banking"
"Can I auto-top up? How do I do it?,Banking"
"Enable talking replies. Can you tell me about the rating for the Introduction to Arts and Humanities course?,Non-Banking"
"i needed money for a night out with the girls but i was declined, why?,Banking"
"How do I get another card,Banking"
"what are the flights from atlanta to dallas,Non-Banking"
"Do I have to manually top-up my account each time or will it do it on its own?,Banking"
"Use text to answer me.,Non-Banking"
"list all the flights from atlanta to philadelphia on august the first,Non-Banking"
"does delta airlines fly from boston to washington dc,Non-Banking"
"does delta aircraft fly dc10,Non-Banking"
"show me the flights from baltimore to boston,Non-Banking"
"I have money in a foreign account that I want to send to this account.,Banking"
"where does canadian airlines international fly to,Non-Banking"
"list all nonstop flights from los angeles to pittsburgh before 5 pm on tuesday,Non-Banking"
"Help, I don't know what the PIN is to my card?,Banking"
"What skills are covered in Human Resources Management Essentials?,Non-Banking"
"Provide details on your supported tasks.,Non-Banking"
"tell me about flights on american airlines from dallas to san francisco on june twenty ninth,Non-Banking"
"How much is the exchange fee?,Banking"
"I sent payment with EU transfer and they still haven't received it. How long does it take?,Banking"
"A transaction to a friend still hasn't shown up.,Banking"
"Stop speaking to me. Hi, what's your name if you don't mind me asking?,Non-Banking"
"I was charged a fee for withdrawing cash.,Banking"
"Do you mind telling me your name?,Non-Banking"
"Is there a limit on the number of times I can use a disposable card?,Banking"
"I noticed that my card was charged more than once for one thing.,Banking"
"show me ground transportation for boston,Non-Banking"
"show me the latest dinner flight from baltimore to oakland,Non-Banking"
"show me all flights that arrive in philadelphia from baltimore denver or pittsburgh,Non-Banking"
"Switch off voice replies. hey bot, let talk,Non-Banking"
"I have a transaction showing multiple times.,Banking"
"show me the flights that leave on thursday mornings from atlanta to washington and include whether meals are offered and what the prices are,Non-Banking"
"show sunday flights from seattle to chicago,Non-Banking"
"what is american's schedule of morning flights to atlanta,Non-Banking"
"What's taking my top-up so long?,Banking"
"I asked for a certain amount of money from the ATM, but it gave me a different amount. Less than what I asked for.,Banking"
"can you tell me where to find the top-up verification code?,Banking"
"which airlines serve pittsburgh,Non-Banking"
"i would like information on flights from san francisco to pittsburgh leaving after 8 pm monday night,Non-Banking"
"what are the latest flights from boston to dallas on the evening of july seventh,Non-Banking"
"I have an unknown charge.,Banking"
"please list the flight times from pittsburgh to newark,Non-Banking"
"I prefer sound answers.,Non-Banking"
"Are purchases returnable for full refund?,Banking"
"can i have a rental car in houston,Non-Banking"
"Will my card work at all merchant locations?,Banking"
"There is a payment on my card that I do not recognize.,Banking"
"I made a purchase and was charged at the wrong foreign exchange rate.,Banking"
"I got some cash at an ATM earlier, but now app is showing that I withdrew more than I did. Help!,Banking"
"I am having an issue with an in country transfer I did a few days ago. It has yet to appear in my account. I have checked to be sure that all account information is correct multiple times. What is taking the transfer so long?,Banking"
"If I exchange currencies on a regular basis, is there a discount?,Banking"
"i'd like a ticket from denver to atlanta with a stopover in pittsburgh is this possible,Non-Banking"
"I prefer written answers. Can you suggest any courses in music and arts?,Non-Banking"
"what are the restrictions on the cheapest one way fare between boston and oakland,Non-Banking"
"How is the Ruby Programming for Beginners course rated?,Non-Banking"
"Help me change my PIN.,Banking"
"What do I need for the verification check?,Banking"
"I needed cash from the ATM but I couldn't get it.,Banking"
"show flights between boston and denver,Non-Banking"
"How is the Conflict Resolution and Mediation Skills course rated?,Non-Banking"
"Is there a problem that makes my payments show pending?,Banking"
"Would I be able to get a second card?,Banking"
"When traveling, is it possible for it to add money at specific time intervals?,Banking"
"What happens if a merchant doesn't accept you payment?,Banking"
"could you tell me about flights from philadelphia to dallas that arrives in the early afternoon,Non-Banking"
"How do I access the virtual card?,Banking"
"Use written responses.,Non-Banking"
"My transfer did not work, what was the reason?,Banking"
"I did a transfer and I was charged a fee that shouldn't be there!,Banking"
"The fee charged when I changed rubles into British pounds was too much.,Banking"
"please give me flight schedules from baltimore to philadelphia,Non-Banking"
"How long will my top-up be pending?,Banking"
"I have questions about how to transfer money to my account.,Banking"
"I tried withdrawing but my cash is not showing up?,Banking"
"which flights on northwest and united airlines stop in denver before noon,Non-Banking"
"how much is a round trip fare from indianapolis to seattle,Non-Banking"
"could you tell me the flights leaving pittsburgh around midnight for oakland,Non-Banking"
"My top up didn't go through,Banking"
"Hello. I'm trying to transfer some money to a friend but it keeps getting rejected. can you help me?,Banking"
"I lost my wallet and all my cards were in it.,Banking"
"what flights are available from san francisco to pittsburgh on monday morning,Non-Banking"
"list flights from detroit to san diego on thursday,Non-Banking"
"I deposited a check yesterday and im not seeing it posted yet in my account. why is that? can you look into it?,Banking"
"are there any thrift economy flights to san francisco from boston,Non-Banking"
"show me all flights that depart from san francisco and go to either boston philadelphia or baltimore,Non-Banking"
"I made a transfer into my account and now I need to cancel it,Banking"
"Someone else charged my card!,Banking"
"Where can I use my card?,Banking"
"My transaction history is looking a little off. I have been charged twice for multiple different purchases, and would like to have those duplicate charges refunded.,Banking"
"Can you reply with your voice? Display the landing page for E-commerce Strategies.,Non-Banking"
"Tell me why my card payment would be reverted.,Banking"
"what airline is ea the abbreviation for,Non-Banking"
"I would like to get some extra cards?,Banking"
"How long do EU transfers take? I bought something online a couple days ago , sent the money immediately online but the seller says it is still not there yet,Banking"
"What fees are charged when I top up,Banking"
"Do you give out Visa or Mastercards?,Banking"
"I couldn't pay with my card,Banking"
"Hello, need some help with this,Non-Banking"
"Why was I charged extra on my app?,Banking"
"What are the auto top-up policies?,Banking"
"what flights are there from pittsburgh to dallas on wednesday morning,Non-Banking"
"Why is my top-up showing as cancelled?,Banking"
"What are the cards and currencies that you support?,Banking"
"What do I do if my card has been lost or stolen?,Banking"
"My transfer failed to process correctly. Is there a reason this would happen?,Banking"
"show me flights from miami to new york leaving on a sunday first class,Non-Banking"
"Turn on speaking mode.,Non-Banking"
"list united flights from denver to san francisco on tuesdays or wednesdays,Non-Banking"
"hi i'd like a flight from tampa to montreal,Non-Banking"
"Access the course syllabus for International Business.,Non-Banking"
"I locked myself out of my account, how do I unblock my PIN?,Banking"
"Hello, got a second?,Non-Banking"
"why is there a service fee on my statement?,Banking"
"How much for an actual card?,Banking"
"Hi, what's the name on your mind?,Non-Banking"
"a flight on continental airlines leaving boston and going to denver,Non-Banking"
"What is the process to create a disposable virtual card?,Banking"
"what is the departure time of the latest flight of united airlines from denver to boston,Non-Banking"
"Help me get the virtual card working.,Banking"
"This river bank supports solar panel banks for eco camping.,Non-Banking"
"I got a card, how do I get it in the app?,Banking"
"What's the price of gold today?,Non-Banking"
"what are all flights from boston to denver,Non-Banking"
"How do I get extra physical cards?,Banking"
"My card wants to be topped what do you guys support?,Banking"
"There are a couple payments with my card in the app I see that I didn't create. What is happening? Maybe someone gained access to my account.,Banking"
"is there a reason that my payment didnt go through,Banking"
"ground transportation in san jose,Non-Banking"
"Enable spoken replies.,Non-Banking"
"what flights from orlando to tacoma on saturday,Non-Banking"
"How do you determine exchange rates?,Banking"
"phoenix to newark on wednesday,Non-Banking"
"What do I do if there is a direct debit on my account that shouldn't be there?,Banking"
"How do I link a new payment card?,Banking"
"My transfer hasn't appeared yet,Banking"
"There is a card payment that I'm not recognizing.,Banking"
"Why hasn't the transaction I did to my friend arrived yet?,Banking"
"are there any flights from denver to pittsburgh connecting in atlanta,Non-Banking"
"what is the cheapest flight from dallas to baltimore,Non-Banking"
"Activate vocal communication.,Non-Banking"
"I have a payment I didnt make on my account,Banking"
"What's the best way to manage time effectively?,Non-Banking"
"i'd like to fly from columbus to nashville tomorrow morning,Non-Banking"
"i want to see the cheapest flight from denver to pittsburgh,Non-Banking"
"I have been charged twice for the same transaction.,Banking"
"My top-up funds aren't available yet.,Banking"
"i would like your rates between atlanta and boston on september third,Non-Banking"
"I tried to buy something online yesterday but it kept saying declined. Tried another time today but same thing happened. What's Broken?,Banking"
"Help, the ATM didn't give me all the money I requested,Banking"
"For what reason can I not transfer money to a beneficiary?,Banking"
"What should I do if I think someone stole my details and used my information to make some transactions?,Banking"
"Can you give audio responses?,Non-Banking"
"what is this charge i didnt do it what can i do,Banking"
"How do I verify the source of my funds?,Banking"
"what flights go from dallas to san francisco before 6 o'clock sunday afternoon,Non-Banking"
"i'm interested in flying from boston to atlanta,Non-Banking"
"How long will it be before the person I sent money to is able to see it?,Banking"
"Enable spoken responses. How do I make a homemade gift?,Non-Banking"
"i want to go from san francisco to denver,Non-Banking"
"Could you please tell me why my purchases from this morning say payment is pending?,Banking"
"What's the difficulty level of the Information Technology Web Development course?,Non-Banking"
"Can I use my bank account to send me more money?,Banking"
"what is the earliest flight flying from pittsburgh to atlanta on july fifth,Non-Banking"
"i'd like to go from detroit to san diego on wednesday evening june second,Non-Banking"
"what's the earliest flight from san jose to houston,Non-Banking"
"I got some cash out of the ATM over the holiday and it seems that I've been grossly overcharged. I wouldn't have done that if I knew of these outrageous charges!,Banking"
"is there a limit on top ups,Banking"
"on flight us air 2153 from san francisco to baltimore what time and what city does the plane stop in between,Non-Banking"
"show me flights to san francisco arriving before 1,Non-Banking"
"What's the difficulty level of Intermediate Java Programming?,Non-Banking"
"Good evening,Non-Banking"
"My top-up failed to go through.,Banking"
"What do I do? My card is broken.,Banking"
"Disable audio responses. Hi, what’s new today?,Non-Banking"
"i'd like the cheapest one way fare from boston to san francisco,Non-Banking"
"I purchased something about one to two weeks ago but for some reason the payment was returned to my account today even though I've already received one of the items. Can you tell me what's going on?,Banking"
"Take me to the course description for Global Marketing.,Non-Banking"
"please show me all round trip flights from burbank to tacoma,Non-Banking"
"I already paid to top-up but the funds aren't available yet, where are they?,Banking"
"is there ground transportation from the pittsburgh airport to downtown pittsburgh,Non-Banking"
"show me the flights from st. petersburg to toronto that leave monday,Non-Banking"
"I was declined when I tried to take out cash!,Banking"
"what are the coach fares from charlotte to la wednesday night,Non-Banking"
"what's the first class fare round trip from atlanta to denver,Non-Banking"
"My money is gone. I had topped up recently and saw it was there, but now it's disappeared, what's going on?,Banking"
"please find the earliest possible flight from boston to denver,Non-Banking"
"Can I have a third card?,Banking"
"Can you recommend a good recipe website?,Non-Banking"
"on the flight from baltimore to san francisco on us air leaving at 420 what type of aircraft is used,Non-Banking"
"What are the steps I need to do if I have a stolen card?,Banking"
"My transfer into my account isn't showing up.,Banking"
"I think somebody made an unauthorized copy of my card. My account has a cash withdrawal for 500£ that I did not make. Please help.,Banking"
"okay i want a flight originating in denver going to pittsburgh,Non-Banking"
"describe ground transportation in dallas,Non-Banking"
"wednesday morning flights between baltimore and newark new jersey,Non-Banking"
"I don't see me 'top up' in my wallet,Banking"
"How do I auto top-up?,Banking"
"what's the next smallest plane after a turboprop,Non-Banking"
"please list all flights from denver to philadelphia two saturdays from now,Non-Banking"
"I found a charge on my debit that I did not make.,Banking"
"Turn off silent mode and speak. Can you recommend a course in financial accounting?,Non-Banking"
"how to recover my passcode,Banking"
"How do I request a refund?,Banking"
"Why is this beneficiary being rejected?,Banking"
"Why is there an extra fee charged?,Banking"
"Hi, Today i have withdrawn cash from ATM but i got wrong amount and in the app it is showing much more amount than that.,Banking"
"Hello, what name do you want to use at this moment?,Non-Banking"
"Can I see where my money came from?,Banking"
"show all flights from boston to denver on july thirty first,Non-Banking"
"I see a transfer fee, but to my understand, that should have been free, what happened?,Banking"
"Are there any courses in database management?,Non-Banking"
"Can I add a card that I just found (again) to the app?,Banking"
"what kind of ground transportation is there in philadelphia,Non-Banking"
"Can you reply using audio?,Non-Banking"
"I received my card. How do I link it to the app?,Banking"
"I was supposed to receive my new card by now, but it hasn't came in.,Banking"
"what flights go from boston to washington next tuesday,Non-Banking"
"Can you close my account please?,Banking"
"I am not satisfied with your service. Close my account.,Banking"
"How can I dispute a direct debit charge on my account?,Banking"
"i havent got my card,Banking"
"My new card has not been delivered to my home yet. What is going on?,Banking"
"i would like to find a flight that goes from la guardia airport to san jose i would like the flight to be on united airlines and arrive in san jose around 10 pm,Non-Banking"
"do you have an early morning direct flight from philadelphia to pittsburgh,Non-Banking"
"list all flights leaving denver on continental on sunday after 934 pm,Non-Banking"
"show me flights leaving from baltimore to dallas,Non-Banking"
"I would like to receive my salary in a different currency. How does that work?,Banking"
"What do I owe for a new card?,Banking"
"what flights from salt lake city to new york city arrive next saturday before 6 pm,Non-Banking"
"what is the earliest flight leaving denver going to boston,Non-Banking"
"Why wasn't my payment accepted by the app,Banking"
"In regards to my card payment, the exchange rate is incorrect.,Banking"
"Use sound for replies. Can you recommend a good music playlist?,Non-Banking"
"Switch to audio mode. Enumerate your range of capabilities.,Non-Banking"
"i would like to fly from atlanta to boston arriving in boston at 5 pm,Non-Banking"
"I want to stop my account,Banking"
"May monthly payment to Apple has been declined but I don't know why, they are going to re-try the payment and it must go through, can you tell me what is going on please?,Banking"
"What are the policies regarding educational support for students experiencing homelessness?,Non-Banking"
"The transfer was accepted but now it's stuck on pending. When will it go through?,Banking"
"Why hasn't payment gone through yet?,Banking"
"i would like to see all flights from denver to philadelphia,Non-Banking"
"give me the latest flight tomorrow on american airlines from milwaukee to tacoma,Non-Banking"
"what is mco,Non-Banking"
"I need to know which fiat currencies I can use with you.,Banking"
"Switch to text-only mode. Display the course overview for Business Process Improvement Techniques.,Non-Banking"
"i need to go from boston to dallas,Non-Banking"
"please list all flights between boston and san francisco nonstop,Non-Banking"
"Can you describe the difficulty level of Digital Illustration Basics?,Non-Banking"
"Can I switch from a monthly to a yearly subscription?,Non-Banking"
"I've deposited a check but the cash isn't showing that it's there yet.,Banking"
"show me one more time the first class fares from baltimore to dallas,Non-Banking"
"The atm wouldn't give out cash,Banking"
"i need information for flights leaving san francisco on thursday evening and returning to boston,Non-Banking"
"show me all flights from new york to miami on a tuesday with round trip fare less than 932 dollars,Non-Banking"
"Explain why my card payment wouldn't go through.,Banking"
"Transfers from the US how long will the wait be?,Banking"
"What's the best way to clean a refrigerator?,Non-Banking"
"i want to travel from pittsburgh to oakland around midnight could you give me the flights,Non-Banking"
"I had to pay one pound more than the set price!,Banking"
"information on american airlines from washington to fort worth,Non-Banking"
"airports in new york,Non-Banking"
"Why haven't I received my new card yet?,Banking"
"What can you help with?,Non-Banking"
"I want to top up by card, what do you support?,Banking"
"do you have a flight from charlotte to atlanta next tuesday,Non-Banking"
"Why won't my card work anymore?,Banking"
"Please specify any limitations that come along with disposable cards.,Banking"
"Will I be charged any fees if I want to add money with an international card?,Banking"
"Switch to audio answers. What's the difficulty level of the Data Science Bootcamp?,Non-Banking"
"show me nonstop flights from miami to new york with coach class fares,Non-Banking"
"My cash withdrawal was not entirely complete,Banking"
"what is ua,Non-Banking"
"first class american flight from philadelphia to dallas on wednesday,Non-Banking"
"give me flights from denver to baltimore,Non-Banking"
"show me all flights from san francisco to atlanta,Non-Banking"
"For SEPA transfers, what kind of charge will be applied?,Banking"
"i would like the first flight into houston from dallas on march first and the last flight from houston to dallas on march first,Non-Banking"
"A pending charge of 1L appears on my statement. Please explain as I have not made a purchase for that amount,Banking"
"Mastercard is preferred to me.,Banking"
"i would like the first flight from toronto to montreal next friday,Non-Banking"
"now i'd like flights from philadelphia to pittsburgh leaving between 430 and 530 pm,Non-Banking"
"flight from dc to salt lake city,Non-Banking"
"Why would my payment for my card show as pending?,Banking"
"Can I claim insurance from my bank for the accident on Riverbank Street?,Banking"
"Why didn't I receive all the cash I requested?,Banking"
"what is your earliest morning flight from indianapolis to charlotte,Non-Banking"
"I'm at the ATM right now and it only allowed me to withdraw 10 pounds instead of my requested 30. What's going on? How can I fix this?,Banking"
"Are there only certain ATM machines where I can use this card?,Banking"
"Are you an intelligent agent?,Non-Banking"
"list all flights leaving denver on continental on sunday,Non-Banking"
"Detail your range of support.,Non-Banking"
"what flights are between boston and atlanta on july thirty first,Non-Banking"
"Why hasn't my transaction arrived to my friend yet?,Banking"
"I have a payment that shows twice,Banking"
"Explain your supported actions.,Non-Banking"
"Use your voice to respond to me. What's the best way to train for a marathon?,Non-Banking"
"My card couldn't pay in a shop.,Banking"
"Why is my cash withdrawal still showing as pending?,Banking"
"What is your exchange rate between UK pounds and Russian rubles for my last transaction,Banking"
"list all the airlines that service denver,Non-Banking"
"show flights from san francisco to denver on either wednesday the twenty third or thursday the twenty fourth,Non-Banking"
"How do I make a reservation at a hotel?,Non-Banking"
"Is there an age limit to open an account,Banking"
"I question today's exchange rate for rubles into pounds. I was hoping for a better return.,Banking"
"An ATM machine didn't give me back my card.,Banking"
"Why hasn't my transfer from Europe gone through?,Banking"
"How do I top up by card?,Banking"
"show me all flights from charlotte to philadelphia,Non-Banking"
"i want a flight from cincinnati to burbank on american airlines and leave in the afternoon,Non-Banking"
"Why won't my transfer to another account work?,Banking"
"what are the exchange rates for foreign currency ATMs,Banking"
"Are you an AI system?,Non-Banking"
"is there a direct flight from atlanta to philadelphia that arrives in philadelphia around 12 noon,Non-Banking"
"I have lost my card, but need to place an online order! How do I get a virtual card instantly?,Banking"
"show me the flights from new york to los angeles with stop in milwaukee,Non-Banking"
"What kind of tasks can you handle?,Non-Banking"
"hi could i get a one way ticket from milwaukee to orlando,Non-Banking"
"what does the fare code y mean,Non-Banking"
"Are you okay with exchanges to EUR?,Banking"
"Online banking is not showing my cheque or cash deposit so the balance is incorrect.,Banking"
"You applied the wrong exchange rate while I was traveling outside the country.,Banking"
"Hi, are you an automated bot?,Non-Banking"
"My new card came in. How do I activate?,Banking"
"Why did the ATM give me less money than what I requested?,Banking"
"I was using a foreign currecy to make a payment and the applied the wrong rate.,Banking"
"on friday i need to see all flights that leave atlanta and arrive in dallas before 6 pm,Non-Banking"
"If I want to send out more cards, do you charge extra for that?,Banking"
"The ATM is messed up. It gave me less than I wanted.,Banking"
"show me the names of airlines in atlanta,Non-Banking"
"show me all all flights from pittsburgh to atlanta on wednesday which leave before noon and serve breakfast,Non-Banking"
"exchanging currencies costs what?,Banking"
"one way,Non-Banking"
"Why did the ATM cancel my transaction,Banking"
"what is the meaning of restriction ap80,Non-Banking"
"My transfer failed, why did that happen?,Banking"
"I need assistance addressing a direct debit that I did not do myself.,Banking"
"My new card isn't here and it was issued a week ago.,Banking"
"My purchases from this morning are showing up as payment pending. Can you tell me why?,Banking"
"I did a transaction this morning and now I want to cancel it.,Banking"
"Why is this payment pending?,Banking"
"why is top up pending,Banking"
"show me all the united airlines flights leaving dallas,Non-Banking"
"Help me use American Express to add money to the account.,Banking"
"Open the page for Retail Management.,Non-Banking"
"I've changed my mind on an item. How do I get a refund?,Banking"
"Is there a reason behind why my transfer did not work?,Banking"
"How can I support educational charities through volunteer work?,Non-Banking"
"on may four atlanta to denver delta flight 257,Non-Banking"
"Is there a reason that my top-up is still pending?,Banking"
"Where do i go to receive a virtual card,Banking"
"show me the type of aircraft that canadian airlines uses,Non-Banking"
"What places accept my card?,Banking"
"What is the maximum times I can auto top-up?,Banking"
"How do I meditate effectively?,Non-Banking"
"I just noticed my transfer was declined and I don't know why. Can you help me?,Banking"
"Show me the source of my money.,Banking"
"What are the career prospects after completing a course in health sciences?,Non-Banking"
"My purchase from this morning still is pending.,Banking"
"Use text for responses instead What initiatives exist for supporting adult learners with course fees?,Non-Banking"
"A card has been sent to me, how do I track it?,Banking"
"How long do you have to wait to see your virtual card your ordered?,Banking"
